,titles,subtitles,links
0,HARRY BACK TO US,,https://www.thesun.co.uk/sport/21910392/leicester-harry-maguire-loan-transfer-bid-man-utd/
1,ACE'S HEARTACHE,"I don't bet but I lost it all - bankruptcy is like Death Row, says Bellamy",https://www.thesun.co.uk/sport/21911537/craig-bellamy-bankruptcy-death-row/
2,,,https://www.thesun.co.uk/sport/21911116/burnley-man-utd-goalkeeper-bart-verbruggen-transfer/
3,ERIK'S MEGA DEAL,Ten Hag set for bumper £12m new deal until 2028 REGARDLESS of who owner is,https://www.thesun.co.uk/sport/21911145/erik-ten-hag-man-utd-new-contract/
4,,,https://www.thesun.co.uk/sport/21911636/barcelona-man-city-ilkay-gundogan-free-transfer/
5,CHELSEA RATINGS,Reece James as intelligent as ever but Mudryk struggling to find his feet,https://www.thesun.co.uk/sport/21910297/chelsea-ratings-reece-james-mudryk/
6,,,https://www.thesun.co.uk/sport/21910679/chelsea-graham-potter-thomas-tuchel/
7,,,https://www.thesun.co.uk/sport/21852813/crystal-palace-leicester-live-score-watch-premier-league-online/
8,ARSENAL 4 LEEDS 1,,https://www.thesun.co.uk/sport/21909260/arsenal-leeds-gabriel-jesus-white-xhaka/
9,ARSENAL RATINGS,Xhaka is driving force finally getting recognition but Trossard struggles,https://www.thesun.co.uk/sport/21909211/arsenal-ratings-xhaka-trossard-leeds/
10,,,https://www.thesun.co.uk/sport/21910581/arsenal-england-title-relegation-southampton/
11,KOK FIGHTING,Brighton join Arsenal & Leicester in hunt for £30m-rated Feyenoord ace Kokcu,https://www.thesun.co.uk/sport/21911590/orkun-kokcu-arsenal-transfer-brighton-leicester/
12,,,https://www.thesun.co.uk/sport/21910790/mark-halsey-man-rodri-liverpool/
13,BRIGHTON 3 BRENTFORD 3,Mac Allister scores late penalty in thriller as sides share spoils,https://www.thesun.co.uk/sport/21852523/brighton-brentford-live-score-watch-premier-league-online/
14,,,https://www.thesun.co.uk/sport/21852247/bournemouth-fulham-live-score-watch-premier-league-online/
15,,,https://www.thesun.co.uk/sport/21852955/nottingham-forest-wolves-daniel-podence-brennan-johnson/
16,FREE BETS,Get the best free bet sign up offers for April including bet £10 get £30,https://www.thesun.co.uk/betting/20812234/free-bets/
17,,,https://www.thesun.co.uk/sport/betting-tips/19780272/ladbrokes-20-football-free-bets/
18,,,https://www.thesun.co.uk/betting/21007381/best-no-deposit-casino-bonuses/
19,SPITTING MAD,,https://www.thesun.co.uk/sport/21909460/wolves-daniel-podence-spit-brennan-johnson-nottingham-forest/
20,BUS ATTACK,Liverpool bus damaged on way home from Etihad as City slam inappropriate chants,https://www.thesun.co.uk/sport/21909831/liverpool-bus-attack-man-city-police/
21,,,https://www.thesun.co.uk/sport/21910226/non-league-match-delayed-horror-injury-alex-fisher/
22,PALACE BLOW,Fears Zaha has played last Palace match as star forced off in tears with injury,https://www.thesun.co.uk/sport/21909001/wilfried-zaha-injury-crystal-palace/
23,,,https://www.thesun.co.uk/betting/20754895/casino-bonus/
24,STRIKE OUT,,https://www.thesun.co.uk/sport/21902612/ten-hag-goals-rashford-weghorst-antony-fernandes/
25,'OUCH',Watch former PL star wipe out Soccer AM staffer in challenge leaving fans concerned,https://www.thesun.co.uk/sport/21907716/premier-league-enrique-soccer-am-volley-challenge/
26,,,https://www.thesun.co.uk/sport/21909916/upamecano-goal-bayern-munich-tuchel/
27,'MONSTROSITY',Fans agree as Arsenal away kit for 2023-24 is leaked & compared to a banana,https://www.thesun.co.uk/sport/21905842/fans-arsenal-away-kit-leaked-banana/
28,,,https://www.thesun.co.uk/sport/21908533/fans-burger-patties-non-league/
29,DAN DROID,,https://www.thesun.co.uk/sport/21902860/daniel-levy-tottenham-transfer-tactics-new-manager/
30,THROW-BACK,Fans say ‘Delap eat your heart out’ as player propels throw-in ‘insane’ distance,https://www.thesun.co.uk/sport/21910798/throw-in-rory-delap-iran-league/
31,,,https://www.thesun.co.uk/sport/21907778/edmundo-brazil-animal-monkey-drunk/
32,GROWING PAINS,Chelsea 'struggle to sign kids after £553m spree and turn to EFL cast-offs,https://www.thesun.co.uk/sport/21909288/chelsea-transfer-efl-youngsters/
33,,,https://www.thesun.co.uk/sport/21908781/gabriel-jesus-cheat-arsenal-penalty/
34,MANOR FROM HEAVEN,,https://www.thesun.co.uk/sport/21846350/manor-solomon-girlfriend-fulham-mudryk-shakhtar/
